Distance,LDR_Left,LDR_Right,Temp,Label
39.00,79,77,68.43,GAMING
-1.00,97,84,71.85,GAMING
-1.00,85,82,71.36,GAMING
,83,78,71.36,GAMING
-1.00,90,81,71.36,GAMING
38.00,87,78,68.91,GAMING
-1.00,86,80,71.85,GAMING
39.00,79,77,68.43,GAMING
-1.00,97,84,71.85,GAMING
-1.00,85,82,71.36,GAMING
,83,78,71.36,GAMING
-1.00,90,81,71.36,GAMING
38.00,87,78,68.91,GAMING
-1.00,86,80,71.85,GAMING
39.00,79,77,68.43,GAMING
-1.00,97,84,71.85,GAMING
-1.00,85,82,71.36,GAMING
-1.00,195,104,71.36,GAMING
-1.00,96,86,71.36,GAMING
-1.00,87,83,71.36,GAMING
44.98,79,79,67.94,GAMING
-1.00,95,85,71.36,GAMING
-1.00,87,84,70.87,GAMING
40.14,82,80,68.43,GAMING
-1.00,94,85,71.36,GAMING
38.88,76,78,68.43,GAMING
39.30,79,80,69.40,GAMING
-1.00,98,86,71.36,GAMING
-1.00,86,84,71.36,GAMING
47.79,80,80,68.91,GAMING
-1.00,97,85,71.36,GAMING
-1.00,88,84,71.36,GAMING
44.97,79,78,67.94,GAMING
45.37,87,81,68.91,GAMING
44.44,89,84,71.85,GAMING
43.62,80,81,71.36,GAMING
45.80,81,81,70.87,GAMING
45.82,87,84,71.36,GAMING
42.35,92,84,71.36,GAMING
41.21,85,83,71.36,GAMING
40.38,79,81,70.38,GAMING
37.40,84,83,71.36,GAMING
39.78,86,83,70.38,GAMING
39.00,93,85,70.87,GAMING
-1.00,86,82,71.36,GAMING
-1.00,95,85,71.36,GAMING
-1.00,87,83,71.36,GAMING
-1.00,91,84,71.36,GAMING
-1.00,94,85,71.36,GAMING
-1.00,88,83,71.36,GAMING
-1.00,98,86,71.85,GAMING
-1.00,87,84,71.36,GAMING
-1.00,94,87,71.36,GAMING
-1.00,87,84,71.36,GAMING
-1.00,91,85,71.85,GAMING
-1.00,94,85,71.36,GAMING
-1.00,88,84,71.36,GAMING
37.16,86,83,70.38,GAMING
37.94,86,80,67.45,GAMING
-1.00,85,83,71.36,GAMING
-1.00,92,85,71.36,GAMING
-1.00,88,84,70.87,GAMING
-1.00,89,85,70.87,GAMING
-1.00,95,85,70.87,GAMING
-1.00,85,83,70.38,GAMING
-1.00,95,85,70.38,GAMING
46.77,82,79,66.96,GAMING
45.46,78,80,69.40,GAMING
-1.00,91,84,70.38,GAMING
-1.00,87,83,70.38,GAMING
-1.00,87,82,69.89,GAMING
-1.00,93,84,70.38,GAMING
42.33,76,77,65.98,GAMING
34.41,77,78,67.45,GAMING
39.30,80,78,65.49,GAMING
36.19,84,80,66.96,GAMING
-1.00,84,82,69.89,GAMING
32.91,77,78,66.96,GAMING
34.34,81,78,65.98,GAMING
31.84,84,80,66.47,GAMING
36.55,84,79,65.98,GAMING
37.38,78,78,67.45,GAMING
34.83,75,78,68.43,GAMING
36.28,79,78,66.96,GAMING
34.65,81,80,68.43,GAMING
32.44,86,80,66.96,GAMING
32.01,83,80,68.43,GAMING
31.65,75,78,66.96,GAMING
-1.00,89,84,69.89,GAMING
30.96,85,80,66.96,GAMING
27.49,84,81,68.43,GAMING
28.25,77,78,66.96,GAMING
27.85,77,79,68.91,GAMING
-1.00,94,85,70.38,GAMING
27.61,86,81,68.43,GAMING
29.22,80,78,66.96,GAMING
27.95,75,77,67.94,GAMING
-1.00,90,84,69.89,GAMING
-1.00,86,83,69.89,GAMING
-1.00,87,83,69.89,GAMING
-1.00,93,84,69.89,GAMING
-1.00,85,82,70.38,GAMING
-1.00,95,85,70.38,GAMING
-1.00,83,81,70.38,GAMING
29.44,78,78,65.98,GAMING
-1.00,96,85,70.38,GAMING
29.32,84,79,66.47,GAMING
-1.00,86,83,69.89,GAMING
37.45,80,78,65.98,GAMING
-1.00,90,83,70.38,GAMING
33.93,74,77,67.45,GAMING
-1.00,90,83,69.89,GAMING
35.36,86,79,66.47,GAMING
33.22,86,83,69.89,GAMING
35.24,73,76,66.96,GAMING
-1.00,90,84,70.38,GAMING
-1.00,87,87,70.38,GAMING
-1.00,87,72,70.38,GAMING
-1.00,93,88,70.38,GAMING
-1.00,85,87,69.89,GAMING
-1.00,95,88,69.89,GAMING
-1.00,82,85,69.89,GAMING
-1.00,90,87,70.38,GAMING
-1.00,88,86,70.38,GAMING
38.45,75,80,66.47,GAMING
-1.00,91,89,70.38,GAMING
37.16,84,84,65.98,GAMING
-1.00,95,88,70.38,GAMING
-1.00,94,84,70.38,GAMING
-1.00,94,87,70.87,GAMING
-1.00,93,88,70.38,GAMING
-1.00,94,88,69.89,GAMING
-1.00,93,88,69.89,GAMING
-1.00,94,88,70.38,GAMING
-1.00,93,88,70.38,GAMING
34.36,80,84,68.91,GAMING
30.18,80,84,69.89,GAMING
29.39,79,81,67.45,GAMING
30.53,84,83,66.96,GAMING
-1.00,88,86,69.89,GAMING
31.98,75,81,66.47,GAMING
-1.00,92,88,70.38,GAMING
-1.00,85,84,70.38,GAMING
-1.00,87,86,70.38,GAMING
29.53,83,83,66.47,GAMING
29.65,87,84,66.96,GAMING
31.48,82,82,66.47,GAMING
29.58,75,81,66.96,GAMING
30.24,78,81,66.47,GAMING
28.75,81,82,66.96,GAMING
29.44,85,83,66.47,GAMING
30.94,85,82,66.96,GAMING
26.71,78,81,67.45,GAMING
28.63,76,81,66.96,GAMING
-1.00,91,87,70.38,GAMING
33.80,86,83,66.96,GAMING
36.98,81,84,69.40,GAMING
34.17,74,81,67.45,GAMING
-1.00,83,80,69.89,GAMING
-1.00,84,92,70.38,GAMING
-1.00,91,98,70.38,GAMING
-1.00,92,93,70.87,GAMING
-1.00,94,120,70.87,GAMING
-1.00,95,97,71.85,GAMING
-1.00,94,81,71.36,GAMING
-1.00,95,78,71.85,GAMING
-1.00,95,79,71.36,GAMING
-1.00,96,122,71.36,GAMING
-1.00,96,136,71.85,GAMING
-1.00,95,137,71.36,GAMING
-1.00,97,138,71.36,GAMING
-1.00,97,143,71.36,GAMING
-1.00,96,117,71.85,GAMING
-1.00,98,117,71.85,GAMING
-1.00,99,146,71.85,GAMING
-1.00,98,134,71.36,GAMING
-1.00,98,123,71.36,GAMING
-1.00,98,127,71.85,GAMING
-1.00,97,123,71.85,GAMING
-1.00,98,124,71.85,GAMING
-1.00,99,125,71.85,GAMING
-1.00,99,129,71.36,GAMING
-1.00,99,131,71.85,GAMING
-1.00,99,134,71.85,GAMING
-1.00,99,126,71.85,GAMING
-1.00,98,131,72.34,GAMING
-1.00,96,127,71.36,GAMING
-1.00,97,143,71.36,GAMING
-1.00,98,175,71.36,GAMING
-1.00,96,170,71.36,GAMING
-1.00,97,186,71.85,GAMING
-1.00,96,180,71.36,GAMING
-1.00,96,204,71.85,GAMING
-1.00,96,186,71.85,GAMING
-1.00,96,183,71.85,GAMING
-1.00,97,183,71.85,GAMING
-1.00,96,179,71.85,GAMING
-1.00,96,180,71.85,GAMING
-1.00,95,179,71.85,GAMING
-1.00,96,180,71.85,GAMING
-1.00,97,180,71.36,GAMING
-1.00,94,180,71.85,GAMING
-1.00,94,182,71.85,GAMING
-1.00,94,179,71.85,GAMING
-1.00,93,178,71.85,GAMING
-1.00,92,179,71.85,GAMING
-1.00,91,179,71.36,GAMING
-1.00,90,176,71.85,GAMING
-1.00,90,176,71.85,GAMING
-1.00,90,177,71.85,GAMING
-1.00,90,176,71.85,GAMING
-1.00,89,176,71.85,GAMING
-1.00,89,176,71.85,GAMING
-1.00,89,176,71.85,GAMING
-1.00,88,170,71.36,GAMING
-1.00,88,176,72.34,GAMING
-1.00,88,175,71.85,GAMING
-1.00,88,176,71.85,GAMING
-1.00,89,176,72.34,GAMING
-1.00,88,176,71.85,GAMING
-1.00,87,175,72.34,GAMING
-1.00,87,174,71.85,GAMING
-1.00,86,173,71.85,GAMING
-1.00,87,174,71.85,GAMING
-1.00,86,175,71.85,GAMING
-1.00,85,176,71.85,GAMING
31.43,82,161,67.94,GAMING
32.74,84,105,68.91,GAMING
-1.00,95,83,71.85,GAMING
-1.00,89,74,71.85,GAMING
-1.00,99,74,71.85,GAMING
-1.00,87,71,71.85,GAMING
30.84,83,67,68.91,GAMING
30.41,85,67,67.94,GAMING
-1.00,92,71,71.85,GAMING
34.43,79,65,68.91,GAMING
-1.00,87,70,71.85,GAMING
-1.00,87,70,71.85,GAMING
-1.00,95,72,71.85,GAMING
-1.00,96,72,71.85,GAMING
-1.00,96,72,72.34,GAMING
-1.00,89,70,71.85,GAMING
-1.00,89,70,71.85,GAMING
-1.00,89,71,72.34,GAMING
-1.00,88,70,71.85,GAMING
-1.00,88,70,71.85,GAMING
-1.00,88,70,71.85,GAMING
-1.00,88,70,71.85,GAMING
-1.00,87,70,71.85,GAMING
-1.00,87,69,71.85,GAMING
-1.00,86,69,71.85,GAMING
-1.00,86,69,71.85,GAMING
-1.00,86,69,71.85,GAMING
-1.00,85,70,72.34,GAMING
-1.00,86,70,71.36,GAMING
-1.00,86,69,71.85,GAMING
-1.00,86,70,71.85,GAMING
-1.00,87,70,71.85,GAMING
-1.00,87,70,71.85,GAMING
-1.00,87,70,71.85,GAMING
-1.00,87,70,71.85,GAMING
-1.00,87,70,71.85,GAMING
-1.00,88,70,71.36,GAMING
-1.00,87,70,71.85,GAMING
-1.00,88,70,71.36,GAMING
-1.00,88,70,71.36,GAMING
-1.00,88,70,71.85,GAMING
-1.00,88,70,71.85,GAMING
-1.00,88,70,71.36,GAMING
-1.00,88,70,71.85,GAMING
-1.00,88,70,71.85,GAMING
-1.00,88,70,71.85,GAMING
-1.00,88,70,71.85,GAMING
-1.00,88,70,71.85,GAMING
-1.00,88,69,71.36,GAMING
-1.00,89,71,71.36,GAMING
-1.00,89,70,71.85,GAMING
-1.00,89,70,71.36,GAMING
-1.00,89,70,71.85,GAMING
-1.00,89,70,71.85,GAMING
-1.00,89,70,71.85,GAMING
-1.00,89,70,71.36,GAMING
-1.00,89,70,71.85,GAMING
-1.00,89,70,71.85,GAMING
-1.00,89,71,71.85,GAMING
-1.00,90,70,71.85,GAMING
-1.00,90,71,71.36,GAMING
-1.00,89,70,71.85,GAMING
-1.00,89,70,71.36,GAMING
-1.00,89,70,71.85,GAMING
-1.00,90,70,71.85,GAMING
-1.00,89,71,71.85,GAMING
-1.00,90,71,71.85,GAMING
-1.00,90,71,71.36,GAMING
-1.00,90,71,71.85,GAMING
-1.00,90,70,71.85,GAMING
-1.00,90,71,71.36,GAMING
-1.00,90,70,71.85,GAMING
-1.00,90,70,71.85,GAMING
-1.00,90,71,71.36,GAMING
